,Institution Name,Issued by Top 25 Institution,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Purchase APR Balance Tier 1,Purchase APR Tier 1 From Balance,Purchase APR Tier 1 To Balance,Purchase APR Balance Tier 2,Purchase APR Tier 2 From Balance,Purchase APR Tier 2 To Balance,Purchase APR Balance Tier 3,Purchase APR Tier 3 From Balance,Purchase APR Tier 3 To Balance,Purchase APR Balance Tier 4,Purchase APR Tier 4 From Balance,Purchase APR Tier 4 To Balance,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Purchase APR no score,Purchase APR poor,Purchase APR good,Purchase APR great,Purchase APR min,Purchase APR median,Purchase APR max,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Intro APR no score,Intro APR poor,Intro APR good,Intro APR great,Intro APR min,Intro APR median,Intro APR max,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Transfer APR no score,Transfer APR poor,Transfer APR good,Transfer APR great,Transfer APR min,Transfer APR median,Transfer APR max,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Advance APR no score,Advance APR poor,Advance APR good,Advance APR great,Advance APR min,Advance APR median,Advance APR max,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Periodic min,Periodic max,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Cash Advance Fee ($),Cash Advance Fee (%),Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Late Fees?,Late Fee Types,Late Fee ($),Late Fee Six Month Billing Cycle,Late Fee Policy Details,Over Limit Fees?,Over Limit Fee Types,Over Limit Fee ($),Overlimit Fee Detail,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name 2,Other Fee Amount 2,Other Fee Explanation 2,Other Fee Name 3,Other Fee Amount 3,Other Fee Explanation 3,Other Fee Name 4,Other Fee Amount 4,Other Fee Explanation 4,Other Fee Name 5,Other Fee Amount 5,Other Fee Explanation 5,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Credit One Bank, National Association",TRUE,Best Friends Credit Card,2024-12-31,National,,,,No,,,,,No,Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,28.24%,28.74%,29.24%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,28.24%,28.74%,29.24%,Yes,24,Yes,$1.00,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5% of the amount of each Balance Transfer, whichever is greater.",Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5% of the amount of each Cash Advance, whichever is greater.",Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $1 or 3% of the amount of each purchase in U.S. dollars, whichever is greater.",Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00,$39.00,,No,,,,Yes,Yes,Returned Payment,$29.00,"If a payment is not honored upon first presentment, even if the payment is later honored, a Returned Payment Fee will be charged to your Account. Currently, the fee is $29, unless you incurred a Returned Payment Fee in the prior six billing cycles. If you",Credit Limit Increase,,"If a fee is imposed for processing a Credit Limit increase request, we will tell you the amount of the fee at the time of your request and before you agree to it.",Sales Slip Request Fee,$6.00,"If you request a copy of a sales slip, for any purpose other than to resolve a dispute about the charges on your Account, you will be charged a fee of $6 for each sales slip copy requested.",Duplicate Statement,$10.00,"If you request a duplicate copy of a monthly statement, for any purpose other than to assert a billing error, you will be charged a fee of up to $10 for each statement copy requested.",Replacement Card,$25.00,"If you request a replacement card, a Replacement Card Fee of up to $25 may be charged to your Account.",Access to Free Credit Scores; Credit card registration; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Travel Accident Insurance,Cashback rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.creditone.com/credit-cards,1-800-752-5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Credit Union Of America,FALSE,Visa Platinum,2024-12-31,National,,,,No,,,,,No,No credit score; Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,18.40%,20.50%,18.40%,14.40%,14.40%,18.40%,20.50%,Yes,No,,,,,5.90%,5.90%,5.90%,12,Yes,No,,,,,1.90%,1.90%,1.90%,12,No,Yes,Yes,20.40%,22.50%,20.40%,16.40%,16.40%,,22.50%,No,,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,1.00%,$10.00,$10 or 1% whichever is greater,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$5.00,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$25.00,,No,,,,Yes,Yes,Replacement Card,$10.00,When the cardholder requests to replace an issued card for negligence. This is not charged on stolen cards or cards reported with fraud.,Returned Payment,$26.00,"It is charged when a payment is returned to us for any reason. For clarity, it is charged up to $26 and will never exceed the amount of the payment attempted to be made.",Documentation Fee,$2.00,Charged for statement requests,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty; Other,"Personal Identity Theft, Travel Accident Insurance, Emergency Cash Disbursement/Card Replacement",Travel-related rewards; Other rewards,Merchandise and Gift Cards,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.cuofamerica.com/Agreements-Disclosures/Visa-Disclosure,1-800-256-8049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cross River Bank,FALSE,Current Build Credit Card,2024-12-31,National,,,,No,,,,,Yes,No credit score,No,,,,,,,,,,,,,,,,F,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,0.00%,0.00%,0.00%,No,,No,,Other,0% APR so not applicable,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",$2.50,,,Per transaction at all non-All-Point® network ATMs for cash advances. Transactions at All-Point® network ATMs are fee-free.,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$0.50,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,"If the Total Due amount shown on your Billing Statement is not received by your Payment Due Date, you will be charged a late payment fee of 3% of any Total Due balances outstanding for two (2) or more Billing Cycles.",No,,,,Yes,Yes,Card Replacement Fee - Regular Delivery,$5.00,When a cardholder orders a replacement card with a regular delivery timeframe,Card Replacement Fee - Expedited Delivery,$35.00,When a cardholder orders a replacement card with an expedited delivery timeframe,,,,,,,,,,Access to Free Credit Scores,,Cashback rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Website,https://current.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delta Community Credit Union,FALSE,Visa Platinum Rewards,2024-12-31,National,,,,No,,,,,No,Credit score 619 or less; Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,18.25%,16.25%,14.25%,14.25%,16.25%,18.25%,No,,,,,,,,,,No,,,,,,,,,,,Yes,Yes,,18.25%,16.25%,14.25%,14.25%,,18.25%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$6.00,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?,$25.00,,,No,,,,Yes,Yes,Returned Payment Fee,$25.00,Returned payment fees are assessed for both returned checks and for returned auto transfer payments that are NSF on the due date.,Statement Copy Fee,$3.00,For requests for copies of statements,Rush Fee,$15.00,For requests for cards delivered Monday through Friday,Rush Fee,$30.00,For requests for cards delivered on Saturday,Stop Payment Fee,$15.00,"If the account is subject to a Stop Payment Fee, except as limited by applicable law, a fee may be charged each time there is a request for payment to be stopped.",Debt cancellation coverage; Other,Roadside dispatch assistance,Cashback rewards; Travel-related rewards; Other rewards,"Gift cards, merchandise, charities","Chip card; Mobile wallet provisioning (for example, Apple Pay); Other",Visa Click to Pay,Phone; Website,https://www.deltacommunitycu.com,1-800-544-3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DFCU Financial,FALSE,Platinum Mastercard,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,18.00%,17.65%,15.65%,13.65%,13.65%,15.83%,18.00%,No,,,,,,,,,,No,,,,,,,,,,,Yes,No,,,,,13.65%,15.83%,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,3.00%,,3% or $5 whichever is greater,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,3.00%,,3% or $5 whichever is greater,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00,$40.00,,No,,,,Yes,Yes,Card Replacement Fee,$5.00,Replacement card Orders,Rush Card Fee,$35.00,When processing an expedited delivery request for cardholder,Statement Copy Fee,$5.00,When processing request for duplicate statements,,,,,,,Automobile rental insurance; Extension on manufacturer’s warranty,,,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.dfcufinancial.com,888-336-2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover It® Secured Credit Card,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Applicant must self-fund the account.,Yes,No credit score; Credit score 619 or less; Credit scores from 620 to 719,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,28.24%,28.24%,28.24%,No,,,,,,,,,,Yes,No,,,,,10.99%,10.99%,10.99%,6,No,Yes,No,,,,,29.49%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Cashback rewards; Other rewards,Cashback Match - Get an unlimited dollar-for-dollar match of all the cash back you've earned at the end of your first year,"Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/secured/,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover it® Cash Back Credit Card,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,27.74%,,26.24%,23.24%,12.49%,25.74%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,15,Yes,No,,,,,0.00%,0.00%,0.00%,15,No,Yes,No,,,,,29.24%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts; 
Social Security Number Dark Web Alerts; 
Request data removal from select people-search sites",Cashback rewards; Other rewards,"Sign-on Bonus -statement credit after $500 in purchases in the first three months 
Affiliates Sign-Up Bonus - statement credit after $500 spend in the first 3 months  
Refer A Friend -  Refer a friend and get a statement credit for each friend who becomes","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/cash-back/it-card.html,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover It® Student Cash Back,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Show proof of school enrollment,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,25.24%,,21.24%,18.24%,17.24%,25.24%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,6,Yes,No,,,,,10.99%,10.99%,10.99%,6,No,Yes,No,,,,,29.24%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Cashback rewards; Other rewards,"Sign-on Bonus - statement credit after first purchases in the first three months
Student Sign-Up Bonus - statement credit after the first purchase in the first 3 months 
Refer A Friend - Refer a friend and get a statement credit for each friend who become","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/student-credit-card/it-card.html,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover It® Student Chrome,2024-12-31,National,,,,Yes,Other. Please Describe:,,,Show proof of school enrollment,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,25.24%,,21.24%,18.24%,17.49%,25.24%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,6,Yes,No,,,,,10.99%,10.99%,10.99%,6,No,Yes,No,,,,,29.24%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Cashback rewards; Other rewards,"Sign-on Bonus -statement credit after the first purchase in the first 3 months
Student Sign-Up Bonus - statement credit after the first purchase in the first 3 months 
Refer A Friend -  Refer a friend and get a statement credit for each friend who becomes","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/student-credit-card/chrome-card.html,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover It® Miles,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,27.74%,,27.49%,25.74%,17.74%,26.24%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,15,Yes,No,,,,,0.00%,0.00%,0.00%,15,No,Yes,No,,,,,29.24%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Travel-related rewards; Other rewards,"Refer A Friend - Refer a friend and get a statement credit for each friend who becomes a cardmember.
Bonus Miles - Automatically match all the Miles you earn at the end of your first year","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/travel/,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,Discover it® Chrome Gas & Restaurant Credit Card,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,28.24%,,26.24%,23.24%,17.49%,25.74%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,15,Yes,No,,,,,0.00%,0.00%,0.00%,15,No,Yes,No,,,,,29.24%,29.99%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Cashback rewards; Other rewards,"Sign-on Bonus - statement credit after $500 in purchases in the first three months 
Refer A Friend -  Refer a friend and get a statement credit for each friend who becomes a cardmember.
Cashback Match - Get an unlimited dollar-for-dollar match of all the ","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/cash-back/chrome.html,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discover Bank,TRUE,NHL® Discover It® Credit Card,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,27.74%,,27.49%,23.24%,17.74%,27.74%,28.24%,Yes,No,,,,,0.00%,0.00%,0.00%,15,Yes,No,,,,,0.00%,0.00%,0.00%,15,No,Yes,No,,,,,29.24%,29.74%,29.99%,Yes,25,Yes,$0.50,Other,daily balance including current transactions,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00,,No,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$0.00,$41.00,"$0.00 for first occurrence
$30.00 if not charged a late fee within last six billing cycles 
$41.00 otherwise",No,,,,Yes,Yes,Optional Identity Theft Protection,$15.00,Monthly,Returned Payment Fee,$30.00,"$30 if not charged a returned payment fee during any of the prior six billing periods. Otherwise, $41.
As of 7/27/2024 the returned payment fee is $30 for all occurrences.",,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Identity theft protection coverage;
New inquiry & account alerts;
Social Security Number Dark Web Alerts;
Request data removal from select people-search sites",Cashback rewards; Other rewards,"Refer A Friend -  Refer a friend and get a statement credit for each friend who becomes a cardmember.
Cashback Match - Get an unlimited dollar-for-dollar match of all the cash back you've earned at the end of your first year","Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.discover.com/credit-cards/cash-back/nhl-card.html,1-800-347-2683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Dollar Bank, Federal Savings Bank",FALSE,Rewards Credit Card,2024-12-31,Regional,,MD; NC; OH; PA; VA,Yes,Yes,Geographic Restrictions Beyond Place of Residence,Customer must reside within Dollar Bank's footprint.,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,Yes,,,22.74%,17.74%,17.74%,20.24%,22.74%,Yes,No,,,,,0.00%,0.00%,0.00%,12,Yes,No,,,,,0.00%,0.00%,0.00%,12,Yes,Yes,Yes,,,24.74%,18.74%,18.74%,,24.74%,Yes,7,Yes,$0.50,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$5.00,,Yes,No,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$5.00,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$0.50,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00,$35.00,,No,,,,Yes,Yes,Stop Payment Fee,$10.00,If the customer request a stop payment on a credit access check,Return Payment Check Fee,$25.00,First returned payment check fee is $25 and then $35 for any additional returned payment checks within the same six consecutive billing cycles,Copy Fees,$3.00,Copy of periodic statement for other than the current billing cycle,Copy Fees,$2.00,Each copy of a charge slip or other document,,,,Automobile rental insurance,,Cashback rewards,,"Contactless Payments; Chip card; Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://www.dollarbank.com,1-800-242-2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSRM National Bank,FALSE,DSRM National Bank Credit Card Agreement,2024-12-31,National,,,,No,,,,,No,Credit scores from 620 to 719; Credit score of 720 or greater,Yes,No,,,,,,,,,,,,,Yes,Prime,V,No,,,,,29.49%,29.49%,29.74%,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,Yes,30,Yes,$2.00,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,No,,,,,,No,,,,,,,No,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$27.00,$38.00,,No,,,,No,,,,,,,,,,,,,,,,,,,,,"Mobile wallet provisioning (for example, Apple Pay)",,Phone; Website,https://ccc.valero.com/Applications/terms.aspx,800-333-3560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
